Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Quake II,1 million,1997-12-09,First-person shooter,id Software,Activision,PC
StarCraft,11 million,1998-03-31,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Unreal,1 million,1998-05-22,First-person shooter,Epic Games Digital Extremes,GT Interactive,PC
Commandos: Behind Enemy Lines,1 million,1998-06-24,Real-time tactics,Pyro Studios,Eidos Interactive,PC
Final Fantasy VII,2.1 million,1998-06-25,Role-playing game,Square,Eidos Interactive,PC
Anno 1602,2 million,1998-09-24,City-building,Max Design,Sunflowers,PC
Railroad Tycoon II,1 million,1998-11-04,Construction and management simulation,PopTop Software,Take-Two Interactive / Gathering of Developers,PC
Half-Life,1.5 million,1998-11-19,First-person shooter,Valve,Sierra Entertainment,PC
Baldur's Gate,2 million,1998-12-21,Role-playing game,BioWare Black Isle Studios,Interplay Entertainment,PC
SimCity 3000,5 million,1999-01-31,City-building,Maxis,Electronic Arts,PC
EverQuest,3 million,1999-03-16,MMORPG,Verant Interactive,Sony Online Entertainment,PC
RollerCoaster Tycoon,4 million,1999-03-31,Construction and management simulation,Chris Sawyer,MicroProse Software,PC
Caesar III,2.5 million,1999-05-30,City-building game,Impressions Game,Sierra Studios,PC
Hidden & Dangerous,1 million,1999-07-29,Action,Illusion Softworks,Take-Two Interactive,PC
Command & Conquer: Tiberian Sun,1 million,1999-08-27,Real-time strategy,Westwood Studios,Electronic Arts,PC
Age of Empires II: The Age of Kings,2 million,1999-09-30,Real-time strategy,Ensemble Studios,Microsoft,PC
Who Wants to Be a Millionaire?,1 million,1999-11-28,Trivia game,Jellyvision,Disney Interactive Studios,PC
Unreal Tournament,1 million,1999-11-30,First-person shooter,Epic Games Digital Extremes,GT Interactive,PC
The Sims,11 million,2000-02-04,Life simulation,Maxis,Electronic Arts,PC
Diablo II,4 million,2000-06-29,Action role-playing,Blizzard North,Blizzard Entertainment,PC
Baldur's Gate II: Shadows of Amn,2 million,2000-09-21,Computer role-playing game,BioWare,Interplay Entertainment,PC
American McGee's Alice,1 million,2000-10-06,"Action-adventure, platformer",Rogue Entertainment,Electronic Arts,PC
Command & Conquer: Red Alert 2,1 million,2000-10-23,Real-time strategy,Westwood Pacific,Electronic Arts,PC
Black & White,2 million,2001-03-25,God game,Lionhead Studios,EA Games Sold-Out Software,PC
Tropico,1 million,2001-04-24,Construction and management simulation,PopTop Software,Gathering of Developers,PC
Operation Flashpoint: Cold War Crisis,1 million,2001-06-22,Tactical shooter,Bohemia Interactive Studio,Codemasters,PC
