Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Sly Cooper and the Thievius Raccoonus,1 million,2002-09-23,Platformstealth,Sucker Punch Productions,Sony Computer Entertainment,PlayStation 2
Need for Speed: Hot Pursuit 2,1.61 million,2002-10-01,Racing,EA Black Box,EA Games,PlayStation 2
Hitman 2: Silent Assassin,1.412 million,2002-10-01,Stealth,IO Interactive,Eidos Interactive,PlayStation 2
NBA Live 2003,1.191 million,2002-10-08,Sports,EA Canada,EA Sports,PlayStation 2
The Lord of the Rings: The Two Towers,2.51 million,2002-10-21,Actionhack and slash,Stormfront Studios,EA Games,PlayStation 2
Tony Hawk's Pro Skater 4,1.42 million,2002-10-23,Sports,Neversoft,Activision O2,PlayStation 2
Grand Theft Auto: Vice City,10.5 million,2002-10-27,Action-adventure,Rockstar North,WW: Rockstar GamesJP: Capcom,PlayStation 2
WWE SmackDown! Shut Your Mouth,1.743 million,2002-10-31,Sports,Yuke's,WW: THQJP: Yuke's,PlayStation 2
Ratchet & Clank,3.71 million,2002-11-04,Platform,Insomniac Games,Sony Computer Entertainment,PlayStation 2
ATV Offroad Fury 2,1.77 million,2002-11-09,Racing,Rainbow Studios,NA: Sony Computer EntertainmentEU: THQ,PlayStation 2
Harry Potter and the Chamber of Secrets,1.046 million,2002-11-14,Action-adventure,Eurocom,EA Games,PlayStation 2
Mortal Kombat: Deadly Alliance,1.7 million,2002-11-16,Fighting,Midway Games,Midway Games,PlayStation 2
James Bond 007: Nightfire,1.808 million,2002-11-18,First-person shooter,Eurocom,EA Games,PlayStation 2
Dragon Ball Z: Budokai,2.61 million,2002-11-29,Fighting,Dimps,JP/EU: Bandai GamesNA/AU: Infogrames,PlayStation 2
Tom Clancy's Ghost Recon,1.329 million,2002-12-01,Tactical shooter,Red Storm Entertainment,Ubi Soft,PlayStation 2
The Getaway,3 million,2002-12-11,Action-adventure,Team Soho,Sony Computer Entertainment,PlayStation 2
The Sims,1.416 million,2003-01-14,Life simulation,Edge of Reality,EA Games,PlayStation 2
Devil May Cry 2,1.7 million,2003-01-25,Action-adventurehack and slash,Capcom,Capcom,PlayStation 2
Dynasty Warriors 4,2.515 million,2003-02-27,Hack and slash,Omega Force,Koei,PlayStation 2
Final Fantasy X-2,5.4 million,2003-03-13,Role-playing,Square Product Development Division 1,JP: SquareNA/PAL: Square Enix,PlayStation 2
Soulcalibur II,1.31 million,2003-03-27,Fighting,Project Soul,Namco,PlayStation 2
Tom Clancy's Splinter Cell,1.178 million,2003-03-28,Stealth,Ubi Soft Shanghai,Ubi Soft,PlayStation 2
Midnight Club II,1.28 million,2003-04-09,Racing,Rockstar San Diego,Rockstar Games,PlayStation 2
NBA Street Vol. 2,1.6 million,2003-04-28,Sports,EA Canada,EA Sports BIG,PlayStation 2
Finding Nemo,1.46 million,2003-05-09,Action-adventure,Traveller's Tales,THQ,PlayStation 2
Enter the Matrix,1.616 million,2003-05-14,Action-adventurefighting,Shiny Entertainment,Infogrames,PlayStation 2
EyeToy: Play,4 million,2003-07-04,Party,London Studio,Sony Computer Entertainment,PlayStation 2
NCAA Football 2004,1.28 million,2003-07-16,Sports,EA Tiburon,EA Sports,PlayStation 2
Pro Evolution Soccer 3[x],3.271 million,2003-08-07,Sports,Konami Computer Entertainment Tokyo,Konami,PlayStation 2
Madden NFL 2004,3.95 million,2003-08-12,Sports,EA Tiburon,EA Sports,PlayStation 2
The Simpsons: Hit & Run,2.57 million,2003-09-16,Action-adventureracing,Radical Entertainment,WW: Vivendi Universal GamesPAL: Sierra Entertainment,PlayStation 2
Tiger Woods PGA Tour 2004,1.43 million,2003-09-22,Sports,EA Redwood Studios,EA Sports,PlayStation 2
DDRMAX2 Dance Dance Revolution,1.09 million,2003-09-23,Musicexergaming,Konami,Konami,PlayStation 2
NBA Live 2004,1.488 million,2003-10-14,Sports,EA Canada,Electronic Arts,PlayStation 2
Jak II,1.6 million,2003-10-14,Platformthird-person shooteraction-adventure,Naughty Dog,Sony Computer Entertainment,PlayStation 2
WWE SmackDown! Here Comes the Pain,1.585 million,2003-10-27,Sports,Yuke's,WW: THQJP: Yuke's,PlayStation 2
Tony Hawk's Underground,2.42 million,2003-10-27,Sports,Neversoft,Activision,PlayStation 2
NFL Blitz Pro,1.27 million,2003-10-28,Sports,Midway Games,Midway Games,PlayStation 2
True Crime: Streets of LA,2.085 million,2003-11-04,Action-adventure,Luxoflux,Activision,PlayStation 2
SOCOM II U.S. Navy SEALs,2.171 million,2003-11-04,Tactical shooter,Zipper Interactive,Sony Computer Entertainment,PlayStation 2
The Lord of the Rings: The Return of the King,1.374 million,2003-11-05,Hack and slashaction role-playing,EA Redwood Shores,EA Games,PlayStation 2
Ratchet & Clank: Going Commando,2.966 million,2003-11-11,Platform,Insomniac Games,Sony Computer Entertainment,PlayStation 2
Medal of Honor: Rising Sun,2.52 million,2003-11-11,First-person shooter,EA Los Angeles,EA Games,PlayStation 2
Dragon Ball Z: Budokai 2,2.084 million,2003-11-14,Fighting,Dimps,JP/EU: Bandai GamesNA/AU: Atari,PlayStation 2
Need for Speed: Underground,3.69 million,2003-11-17,Racing,EA Black Box,EA Games,PlayStation 2
Everybody's Golf 4[db],1.25 million,2003-11-27,Sports,Clap Hanz,Sony Computer Entertainment,PlayStation 2
Gran Turismo 4 Prologue,1.4 million,2003-12-04,Sim racing,Polyphony Digital,Sony Computer Entertainment,PlayStation 2
Resident Evil Outbreak,1.45 million,2003-12-11,Survival horror,Capcom Production Studio 1,Capcom,PlayStation 2
Sonic Heroes,2.9 million,2003-12-30,Action-adventure platformer,Sonic Team,Sega,PlayStation 2
